
C:\Users\nobleric\dev\ESL-Data>c:\Users\nobleric\dev\neo4j\bin\neo4jshell -c -v -path c:/Users/nobleric/dev/neo4j/data -file os-types.cql 

+-------------------------------------------------------------------------------------------------------------------------+
| Solution                                                | Number_of_servers | OS_Types                                  |
| "aviva uk:arc-gis poc hpb"                              | 1                 | ["Windows"]                               |
| "aviva uk:blackberry enterprise services 10 prd hpg"    | 10                | ["Windows"]                               |
| "aviva uk:unisure prd hpb"                              | 1                 | ["Windows"]                               |
| "aviva uk:teradata management tst hpb"                  | 2                 | ["AIX"]                                   |
| "aviva uk:acturis data transfer toolkit tst hpb"        | 2                 | ["Windows"]                               |
| "aviva uk:wps (ukhe) pre hpg"                           | 10                | ["AIX","Other"]                           |
| "aviva uk:common wps (ukl) prd hpg"                     | 5                 | ["AIX","Other"]                           |
| "aviva uk:galahad (life) uat hps"                       | 1                 | ["AIX"]                                   |
| "aviva uk:cpl tst hps"                                  | 1                 | ["Windows"]                               |
| "aviva uk:active directory dc prd hpb"                  | 1                 | ["Windows"]                               |
| "aviva uk:administrator (dc) dev hpg"                   | 2                 | ["AIX"]                                   |
| "aviva uk:pension & annuity esb (ukl) uat hpb"          | 3                 | ["Linux"]                                 |
| "aviva uk:magnitude cartesis finance pre hps"           | 5                 | ["Windows","AIX","Other"]                 |
| "aviva uk:gemini life prd hpb"                          | 1                 | ["Other"]                                 |
| "aviva uk:integrated medical screening prd hps(x)"      | 4                 | ["Windows"]                               |
| "aviva uk:branch management prd hps"                    | 3                 | ["Windows"]                               |
